boat,dtf,long,lat,time
328,3862994,-15.42516,28.12877,1478413800
328,3862994,-15.42516,28.12877,1478414700
328,3862994,-15.42516,28.12875,1478415600
328,3862994,-15.42517,28.12877,1478416500
328,3862994,-15.42515,28.12878,1478417400
328,3862994,-15.42516,28.12877,1478418300
328,3862994,-15.42514,28.12878,1478419200
328,3862994,-15.42515,28.12879,1478420100
328,3862994,-15.42516,28.12878,1478421000
328,3862994,-15.42514,28.12877,1478421900
328,3862994,-15.42515,28.12878,1478422800
328,3862994,-15.42514,28.12879,1478423700
328,3862994,-15.42513,28.12877,1478424600
328,3862994,-15.42515,28.12877,1478425500
328,3862994,-15.42514,28.12878,1478426400
328,3862994,-15.42514,28.12877,1478427300
328,3862994,-15.42514,28.12878,1478428200
328,3862994,-15.42513,28.12878,1478429100
328,3862994,-15.42514,28.12877,1478430000
328,3862994,-15.42514,28.12877,1478430900
328,3862994,-15.42515,28.12875,1478431800
328,3862994,-15.42514,28.12877,1478432700
328,3862994,-15.41309,28.11757,1478433600
